player,team,total_minutes,most_frequent_position
Thomas Meunier,Lille,640,RB
Thomas Müller,Bayern Munich,615,AM
Thomas Partey,Arsenal,1493,CM
Thomas Wilson-Brown,Leicester City,0,
Thorsten Brits,Manchester City,0,
Théo Chennahi,Montpellier,8,DM
Théo De Percin,Auxerre,180,GK
Théo Pellenard,Auxerre,45,CB
Théo Sainte-Luce,Montpellier,41,LB
Tiago Palacios,Internazionale,11,CB
Tiago Santos,Lille,404,RB
Tiago Tomás,Wolfsburg,1108,FW
Tidiane Diallo,Strasbourg,0,
Tijjani Noslin,Lazio,450,LW
Tijjani Reijnders,Milan,821,DM
Tim Breithaupt,Augsburg,120,DM
Tim Drexler,Hoffenheim,357,CB
Tim Iroegbunam,Everton,383,DM
Tim Kleindienst,Mönchengladbach,1409,FW
Tim Oermann,Bochum,723,CB
Tim Siersleben,Heidenheim,253,CB
Tim Skarke,Union Berlin,537,FW
Timo Becker,Holstein Kiel,1125,WB
Timo Horn,Bochum,0,
Timo Werner,Tottenham Hotspur,446,LW
Timon Weiner,Holstein Kiel,1440,GK
Timothee Pembele,Le Havre,674,CB
Timothy Castagne,Fulham,543,RB
Timothy Chandler,Eintracht Frankfurt,18,RB
Timothy Weah,Juventus,401,LW
Tino Kadewere,Nantes,475,AM
Tobias Sippel,Mönchengladbach,0,
Toby Collyer,Manchester United,45,DM
Tom Bischof,Hoffenheim,1101,CM
Tom Cairney,Fulham,354,DM
Tom Edozie,Wolverhampton Wanderers,0,
Tom Heaton,Manchester United,0,
Tom Louchet,Nice,494,RB
Tom Negrel,Auxerre,0,
Tom Pouilly,Lens,46,WB
Tom Rothe,Union Berlin,962,WB
Toma Bašić,Lazio,0,
Tommaso Augello,Cagliari,1076,WB
Tommaso Baldanzi,Roma,308,AM
Tommaso Cassandro,Como,0,
Tommaso Corazza,Bologna,0,
Tommaso Del Lungo,Atalanta,0,
Tommaso Gabellini,Torino,0,
Tommaso Martinelli,Fiorentina,0,
Tommaso Pittino,Genoa,0,
Tommaso Pobega,Bologna,343,DM
Tommaso Rubino,Fiorentina,8,AM
Tommy Doyle,Wolverhampton Wanderers,400,CM
Tommy Setford,Arsenal,0,
Tomás Conechny,Alavés,542,LM
Tomáš Souček,West Ham United,1105,CM
Tomáš Suslov,Hellas Verona,797,RW
Tomáš Čvančara,Mönchengladbach,222,RW
Toni Fernández,Barcelona,0,
Toni Lato,Mallorca,263,LB
Toni Martínez,Alavés,518,FW
Toni Villa,Girona,0,
Tony Yogane,Brentford,0,
Tosin Adarabioyo,Chelsea,623,CB
Toti Gomes,Wolverhampton Wanderers,1084,CB
Trent Alexander-Arnold,Liverpool,1395,RB
Trevoh Chalobah,Crystal Palace,1060,CB
Trey Nyoni,Liverpool,0,
Tuta,Eintracht Frankfurt,1132,CB
Tyler Adams,Bournemouth,506,DM
Tyler Dibling,Southampton,1015,RW
Tyler Morton,Liverpool,0,
Tymoteusz Puchacz,Holstein Kiel,396,WB
Tyrell Malacia,Manchester United,90,WB
Tyrick Mitchell,Crystal Palace,1744,WB
Tyrique George,Chelsea,0,
Tyrone Mings,Aston Villa,251,CB
Téji Savanier,Montpellier,1253,AM
Ulisses Garcia,Marseille,433,LB
Umar Sadiq,Real Sociedad,227,FW
Umar Sadiq,Valencia,22,FW
Umut Tohumcu,Hoffenheim,288,CM
Unai Eguíluz,Athletic Club,0,
Unai García,Osasuna,0,
Unai Gómez,Athletic Club,511,AM
Unai López,Rayo Vallecano,897,CM
Unai Marrero,Real Sociedad,0,
Unai Núñez,Athletic Club,270,CB
Unai Simón,Athletic Club,180,GK
Urko González,Real Sociedad,45,CM
Valentin Atangana Edoa,Reims,1397,DM
Valentin Carboni,Marseille,103,AM
Valentin Gendrey,Hoffenheim,814,WB
Valentin Gendrey,Lecce,180,RB
Valentin Mihaila,Parma,466,LW
Valentin Rongier,Marseille,647,CM
Valentin Rosier,Leganés,1183,RB
Valentino Lazaro,Torino,1119,WB
Valentino Livramento,Newcastle United,1320,RB
Valentín Barco,Brighton & Hove Albion,0,
Valentín Barco,Sevilla,288,LB
Valentín Castellanos,Lazio,1320,FW
Valentín Pezzolesi,Las Palmas,0,
Valery Fernández,Mallorca,223,LM
Vanderson,Monaco,1022,RB
Vanja Milinković-Savić,Torino,1710,GK
Vanja Vlahović,Atalanta,25,CM
Vasilije Adžić,Juventus,25,CM
Vedat Muriqi,Mallorca,993,FW
Velizar-Ilia Svetozarov Iliev,Cagliari,0,
Vernon Addo,Lecce,0,
Vicent Abril Sanz,Valencia,0,
Vicente Guaita,Celta Vigo,1350,GK
Victor Bernth Kristiansen,Leicester City,1487,LB
Victor Boniface,Bayer Leverkusen,658,FW
Victor Lindelöf,Manchester United,63,CB
Victor Mayela,Auxerre,0,
Victor Orakpo,Nice,36,LW
Viggo Gebel,RB Leipzig,14,RM
Viktor Tsyhankov,Girona,492,RW
Vincent Burlet,Lille,0,
Vincent Sierro,Toulouse,1235,CM
Vincenzo Grifo,Freiburg,1196,LW
Vinicius Júnior,Real Madrid,1175,LW
Virgil van Dijk,Liverpool,1710,CB
Vitaliy Mykolenko,Everton,1465,LB
Vitaly Janelt,Brentford,1420,CM
Vitezslav Jaros,Liverpool,12,GK
Viti,Las Palmas,916,RB
Vitinha,Genoa,696,FW
Vitinha,Paris Saint-Germain,1054,CM
Vito Mannone,Lille,0,
Vitor Roque,Real Betis,1009,FW
Vitus Eicher,Heidenheim,0,
Vladimír Coufal,West Ham United,572,RB
Víctor Meseguer,Valladolid,418,CM
Víctor Muñoz,Real Madrid,0,
Víctor Puig,Las Palmas,0,
Wahbi Khazri,Montpellier,693,FW
Waldemar Anton,Dortmund,810,CB
Walid Cheddira,Espanyol,588,FW
Walid Cheddira,Napoli,12,FW
Waren Kamanzi,Toulouse,688,WB
Warmed Omari,Lyon,8,CB
Warmed Omari,Rennes,0,
Warren Bondo,Monza,1212,CM
Warren Madrigal,Valencia,0,
Warren Zaïre-Emery,Paris Saint-Germain,1150,RM
Wataru Endo,Liverpool,60,DM
Wes Burns,Ipswich Town,828,RW
Wes Foderingham,West Ham United,0,
Wesley Adeh,Werder Bremen,0,
Wesley Fofana,Chelsea,1015,CB
Wesley Okoduwa,Wolverhampton Wanderers,0,
Wesley Saïd,Lens,380,FW
Weston McKennie,Juventus,514,DM
Wilfred Ndidi,Leicester City,1215,DM
Wilfried Singo,Monaco,1187,CB
Wilfried Zaha,Lyon,73,LW
Will Alves,Leicester City,1,LW
Will Dennis,Bournemouth,0,
Will Hughes,Crystal Palace,1090,CM
Will Lankshear,Tottenham Hotspur,1,FW
Willi Orban,RB Leipzig,1254,CB
William Carvalho,Real Betis,247,DM
William Feola,Como,0,
William Osula,Newcastle United,31,FW
William Saliba,Arsenal,1649,CB
William Smallbone,Southampton,241,CM
Willian Pacho,Paris Saint-Germain,1226,CB
Williot Swedberg,Celta Vigo,690,LW
Willy Boly,Nottingham Forest,115,CB
Willy Kambwala,Villarreal,121,CB
Wilson Odobert,Tottenham Hotspur,162,LW
Wladimiro Falcone,Lecce,1800,GK
Wojciech Szczęsny,Barcelona,0,
Wout Faes,Leicester City,1285,CB
Woyo Coulibaly,Parma,814,RB
Wylan Cyprien,Parma,28,DM
Xaver Schlager,RB Leipzig,181,CM
Xavi Simons,RB Leipzig,679,AM
Yacine Adli,Fiorentina,577,DM
Yael Mouanga,Montpellier,90,CB
Yael Nandjou,Nice,154,LB
Yahia Fofana,Angers,1530,GK
Yan Couto,Dortmund,489,RB
Yangel Herrera,Girona,898,CM
Yanis Issoufou,Montpellier,77,CM
Yanis Zouaoui,Le Havre,412,LB
Yankuba Minteh,Brighton & Hove Albion,637,RW
Yann Aurel Bisseck,Internazionale,771,CB
Yann Gboho,Toulouse,1369,AM
Yann Karamoh,Torino,478,FW
Yann Liénard,Monaco,0,
Yann Sommer,Internazionale,1620,GK
Yannick Gerhardt,Wolfsburg,559,AM
Yannik Engelhardt,Como,582,DM
Yannik Keitel,Stuttgart,102,AM
Yannik Lührs,Dortmund,127,CB
Yarek Gasiorowski,Valencia,826,CB
Yaser Asprilla,Girona,649,RW
Yasin Ayari,Brighton & Hove Albion,1014,DM
Yassin Belkhdim,Angers,594,DM
Yassine Kechta,Le Havre,1024,CM
Yaya Kader Fofana,Reims,634,CM
Yehor Yarmoliuk,Brentford,516,CM
Yehvann Diouf,Reims,1530,GK
Yeray Álvarez,Athletic Club,812,CB
Yeremi Pino,Villarreal,830,RM
Yerry Mina,Cagliari,1269,CB
Yerson Mosquera,Wolverhampton Wanderers,441,CB
Ylber Ramadani,Lecce,979,CM
Yllan Okou,Hellas Verona,2,CB
Yoane Wissa,Brentford,1301,FW
Yoann Cissé,Auxerre,1,CM
Yoann Salmier,Le Havre,778,CB
Yoel Lago,Celta Vigo,0,
Yoni Gomis,Strasbourg,0,
Yoram Zague,Paris Saint-Germain,160,LB
Yorbe Vertessen,Union Berlin,687,AM
Yordan Osorio,Parma,172,CB
Younes Lachaab,Lille,0,
Youri Tielemans,Aston Villa,1681,DM
Youssef Chermiti,Everton,0,
Youssef Lekhedim,Real Madrid,0,
Youssef Maleh,Empoli,938,CM
Youssouf Fofana,Milan,1060,DM
Youssouf Ndayishimiye,Nice,762,CB
Youssouf Sabaly,Real Betis,973,RB
Youssoufa Moukoko,Nice,189,FW
Yukinari Sugawara,Southampton,858,RB
Yunis Abdelhamid,Saint-Étienne,936,CB
Yunus Emre Konak,Brentford,21,CM
Yunus Musah,Milan,485,RW
Yuri Berchiche,Athletic Club,1137,LB
Yussuf Poulsen,RB Leipzig,198,FW
Yusuf Kabadayı,Augsburg,71,FW
Yvan Neyou,Leganés,1200,DM
Yvann Macon,Saint-Étienne,286,RB
Yves Bissouma,Tottenham Hotspur,781,CM
Zach Abbott,Nottingham Forest,0,
Zachariah Marsh,Crystal Palace,0,
Zakaria Aboukhlal,Toulouse,1344,AM
Zeki Çelik,Roma,820,WB
Zinedine Ferhat,Angers,283,RW
Zinédine Ould Khaled,Angers,57,CM
Zion Suzuki,Parma,1694,GK
Zito Luvumbo,Cagliari,665,FW
Zuriko Davitashvili,Saint-Étienne,1362,LM
Álex Berenguer,Athletic Club,1033,LW
Álex Domínguez,Toulouse,19,GK
Álex Gil,Leganés,0,
Álex Grimaldo,Bayer Leverkusen,1412,WB
Álex Moreno,Nottingham Forest,788,LB
Álex Muñoz,Las Palmas,926,LB
Álex Remiro,Real Sociedad,1620,GK
Álex Suárez,Las Palmas,1343,CB
Álex Valle,Barcelona,0,
Álvaro Abajas,Leganés,0,
Álvaro Aceves,Valladolid,0,
Álvaro Aguado,Espanyol,325,CM
Álvaro Cortés,Barcelona,0,
Álvaro Fernández,Sevilla,657,GK
Álvaro García,Rayo Vallecano,1089,LM
Álvaro Killane,Las Palmas,0,
Álvaro Morata,Milan,971,FW
Álvaro Odriozola,Real Sociedad,43,RB
Álvaro Pascual,Sevilla,62,FW
Álvaro Rodríguez,Getafe,488,FW
Álvaro Tejero,Espanyol,929,RM
Álvaro djaló,Athletic Club,445,FW
Ángel Correa,Atlético Madrid,472,FW
Áron Yaakobishvili,Barcelona,0,
Éder Militão,Real Madrid,938,CB
Éderson,Atalanta,1510,CM
Óscar Mingueza,Celta Vigo,1454,RM
Óscar Perea,Strasbourg,7,DM
Óscar Rodríguez Arnaiz,Leganés,673,AM
Óscar Trejo,Rayo Vallecano,239,AM
Óscar Valentín,Rayo Vallecano,1216,CM
Óscar de Marcos,Athletic Club,1002,RB
Ørjan Nyland,Sevilla,1053,GK
Ümit Akdag,Toulouse,296,CB
Þórir Jóhann Helgason,Lecce,92,RM
Đorđe Petrović,Strasbourg,1260,GK
İlkay Gündoğan,Manchester City,1149,DM
Łukasz Fabiański,West Ham United,765,GK
Łukasz Skorupski,Bologna,1080,GK
